background,background-(def-all-nosource)
boundary-land-level-2,boundary-land-major-(def-all-osm)
boundary-land-disputed,boundary-land-disputed-(def-all-osm)
forbidden-bicycle,access-bicycle-no-(def-all-osm)
forbidden-bicycle-hc,access-bicycle-no-(def-all-osm-hc)
discouraged-bicycle,access-bicycle-discouraged-(def-all-osm)
discouraged-bicycle-hc,access-bicycle-discouraged-(def-all-osm-hc)
forbidden-any,access-any-no-(def-all-osm)
forbidden-any-hc,access-any-no-(def-all-osm-hc)
discouraged-any,access-any-discouraged-(def-all-osm)
discouraged-any-hc,access-any-discouraged-(def-all-osm-hc)
hw-path-case,highway-path-case-(def-all-osm)
hw-path-case-hc,highway-path-case-(def-all-osm-hc)
hw-path-case-gr,highway-path-case-(gr-all-osm)
hw-track-case,highway-track-case-(def-all-osm)
hw-track-case-hc,highway-track-case-(def-all-osm-hc)
hw-track-case-gr,highway-track-case-(gr-all-osm)
hw-path-track-case-winter,highway-path_track-case-(wnt-all-osm)
hw-path-track-case-ways_only,highway-path_track-case-(def-all-osm)
hw-cycleway-case,highway-cycleway-case-(def-all-osm)
hw-cycleway-case-hc,highway-cycleway-case-(def-all-osm-hc)
hw-cycleway-case-gr,highway-cycleway-case-(gr-all-osm)
hw-path-line-mml,highway-mml_path-line-(mmlways-fin-mml_topo)
hw-path-line-bv-farzoom,highway-path-line_badvis_farzoom-(def-all-osm)
hw-path-line-gv-farzoom,highway-path-line_goodvis_farzoom-(def-all-osm)
hw-path-line-bv,highway-path-line_badvis-(def-all-osm)
hw-path-line-bv-hc,highway-path-line_badvis-(def-all-osm-hc)
hw-path-line-bv-gr,highway-path-line_badvis-(gr-all-osm)
hw-path-cat_a-line-gv,highway-path-line_goodvis_narrow-(def-all-osm)
hw-path-cat_b_uk-line-gv,highway-path-line_goodvis_medium_or_unknown-(def-all-osm)
hw-path-cat_c-line-gv,highway-path-line_goodvis_wide-(def-all-osm)
hw-path-line-gv-hc,highway-path-line_goodvis_allwidths-(def-all-osm-hc)
hw-path-line-gv-gr,highway-path-line_goodvis_allwidths-(gr-all-osm)
hw-path-line-winter,highway-path-line_allvis_allwidths-(wnt-all-osm)
hw-track-line-mml,highway-mml_track-(mmlways-fin-mml_topo)
hw-track-line-gv,highway-track-line_goodvis-(def-all-osm)
